Source Function,Target Function
"approve(address,uint256)","transferFrom(address,address,uint256)"
"adminClaimAirdrop(address,uint256)","transferFrom(address,address,uint256)"
"adminClaimAirdropMultiple(address[],uint256)","transferFrom(address,address,uint256)"
"transfer(address,uint256)","transferFrom(address,address,uint256)"
adminBurnToken(uint256),"transferFrom(address,address,uint256)"
"adminClaimAirdrop(address,uint256)",updateTradeStatus(bool)
"adminClaimAirdropMultiple(address[],uint256)",updateTradeStatus(bool)
updatePublicSale(uint256),updateTradeStatus(bool)
finishDistribution(),updateTradeStatus(bool)
updateTokensPerEth(uint256),updateTradeStatus(bool)
transferOwnership(address),updateTradeStatus(bool)
updateTradeStatus(bool),withdraw()
"adminClaimAirdrop(address,uint256)",withdraw()
"adminClaimAirdropMultiple(address[],uint256)",withdraw()
updatePublicSale(uint256),withdraw()
finishDistribution(),withdraw()
updateTokensPerEth(uint256),withdraw()
transferOwnership(address),withdraw()
updateTradeStatus(bool),"adminClaimAirdrop(address,uint256)"
"adminClaimAirdropMultiple(address[],uint256)","adminClaimAirdrop(address,uint256)"
updatePublicSale(uint256),"adminClaimAirdrop(address,uint256)"
finishDistribution(),"adminClaimAirdrop(address,uint256)"
updateTokensPerEth(uint256),"adminClaimAirdrop(address,uint256)"
transferOwnership(address),"adminClaimAirdrop(address,uint256)"
updateTradeStatus(bool),"adminClaimAirdropMultiple(address[],uint256)"
"adminClaimAirdrop(address,uint256)","adminClaimAirdropMultiple(address[],uint256)"
updatePublicSale(uint256),"adminClaimAirdropMultiple(address[],uint256)"
finishDistribution(),"adminClaimAirdropMultiple(address[],uint256)"
updateTokensPerEth(uint256),"adminClaimAirdropMultiple(address[],uint256)"
transferOwnership(address),"adminClaimAirdropMultiple(address[],uint256)"
updateTradeStatus(bool),updatePublicSale(uint256)
"adminClaimAirdrop(address,uint256)",updatePublicSale(uint256)
"adminClaimAirdropMultiple(address[],uint256)",updatePublicSale(uint256)
finishDistribution(),updatePublicSale(uint256)
updateTokensPerEth(uint256),updatePublicSale(uint256)
transferOwnership(address),updatePublicSale(uint256)
updateTradeStatus(bool),finishDistribution()
"adminClaimAirdrop(address,uint256)",finishDistribution()
"adminClaimAirdropMultiple(address[],uint256)",finishDistribution()
updatePublicSale(uint256),finishDistribution()
updateTokensPerEth(uint256),finishDistribution()
transferOwnership(address),finishDistribution()
updateTradeStatus(bool),updateTokensPerEth(uint256)
"adminClaimAirdrop(address,uint256)",updateTokensPerEth(uint256)
"adminClaimAirdropMultiple(address[],uint256)",updateTokensPerEth(uint256)
updatePublicSale(uint256),updateTokensPerEth(uint256)
finishDistribution(),updateTokensPerEth(uint256)
transferOwnership(address),updateTokensPerEth(uint256)
"approve(address,uint256)","transfer(address,uint256)"
"transferFrom(address,address,uint256)","transfer(address,uint256)"
"adminClaimAirdrop(address,uint256)","transfer(address,uint256)"
"adminClaimAirdropMultiple(address[],uint256)","transfer(address,uint256)"
adminBurnToken(uint256),"transfer(address,uint256)"
updateTradeStatus(bool),withdrawForeignTokens(address)
"adminClaimAirdrop(address,uint256)",withdrawForeignTokens(address)
"adminClaimAirdropMultiple(address[],uint256)",withdrawForeignTokens(address)
updatePublicSale(uint256),withdrawForeignTokens(address)
finishDistribution(),withdrawForeignTokens(address)
updateTokensPerEth(uint256),withdrawForeignTokens(address)
transferOwnership(address),withdrawForeignTokens(address)
updateTradeStatus(bool),adminBurnToken(uint256)
"adminClaimAirdrop(address,uint256)",adminBurnToken(uint256)
"adminClaimAirdropMultiple(address[],uint256)",adminBurnToken(uint256)
updatePublicSale(uint256),adminBurnToken(uint256)
finishDistribution(),adminBurnToken(uint256)
updateTokensPerEth(uint256),adminBurnToken(uint256)
transferOwnership(address),adminBurnToken(uint256)
updateTradeStatus(bool),transferOwnership(address)
"adminClaimAirdrop(address,uint256)",transferOwnership(address)
"adminClaimAirdropMultiple(address[],uint256)",transferOwnership(address)
updatePublicSale(uint256),transferOwnership(address)
finishDistribution(),transferOwnership(address)
updateTokensPerEth(uint256),transferOwnership(address)
